Sample	chr	startpos	endpos	nMajor	nMinor	Sex	Purity	Ploidy	CN	Size
PD62053a	11	124038949	134986813	1	1	M	0.38	1.99026418322691	neutral	10947865
PD62053a	12	66973	133234349	1	1	M	0.38	1.99026418322691	neutral	133167377
PD62053a	13	19026300	114325924	1	1	M	0.38	1.99026418322691	neutral	95299625
PD62053a	14	19097607	105970991	1	1	M	0.38	1.99026418322691	neutral	86873385
PD62053a	14	105971014	106874913	2	2	M	0.38	1.99026418322691	gain	903900
PD62053a	15	19964758	101849608	1	1	M	0.38	1.99026418322691	neutral	81884851
PD62053a	16	47541	90094793	1	1	M	0.38	1.99026418322691	neutral	90047253
PD62053a	17	156162	83135891	1	1	M	0.38	1.99026418322691	neutral	82979730
PD62053a	18	158494	80247464	1	1	M	0.38	1.99026418322691	neutral	80088971
PD62053a	19	281383	58572521	1	1	M	0.38	1.99026418322691	neutral	58291139
PD62053a	20	87623	64273492	1	1	M	0.38	1.99026418322691	neutral	64185870
PD62053a	21	9068512	13979766	3	1	M	0.38	1.99026418322691	gain	4911255
PD62053a	21	13979785	46664392	1	1	M	0.38	1.99026418322691	neutral	32684608
PD62053a	22	16572142	50780662	1	1	M	0.38	1.99026418322691	neutral	34208521
PD62053a	X	284193	2781927	2	0	M	0.38	1.99026418322691	gain	2497735
PD62053a	X	2781986	155524613	1	0	M	0.38	1.99026418322691	neutral	152742628
PD62053a	X	155773979	155898234	4	0	M	0.38	1.99026418322691	gain	124256
PD62053a	X	155900534	156005528	2	0	M	0.38	1.99026418322691	gain	104995
PD62054a	1	69511	248918428	1	1	F	1	2.00111035695606	neutral	248848918
PD62054a	2	41393	242004549	1	1	F	1	2.00111035695606	neutral	241963157
PD62054a	3	197664	198038561	1	1	F	1	2.00111035695606	neutral	197840898
PD62054a	4	85813	190025891	1	1	F	1	2.00111035695606	neutral	189940079
PD62054a	5	140238	181260906	1	1	F	1	2.00111035695606	neutral	181120669
PD62054a	6	203397	170584376	1	1	F	1	2.00111035695606	neutral	170380980
PD62054a	7	193222	159233344	1	1	F	1	2.00111035695606	neutral	159040123
PD62054a	8	232977	145054093	1	1	F	1	2.00111035695606	neutral	144821117
PD62054a	9	154795	32987476	1	1	F	1	2.00111035695606	neutral	32832682
PD62054a	9	32987570	34729256	2	1	F	1	2.00111035695606	gain	1741687
PD62054a	9	34729341	138177328	1	1	F	1	2.00111035695606	neutral	103447988
PD62054a	10	49134	133625894	1	1	F	1	2.00111035695606	neutral	133576761
PD62054a	11	197291	134986843	1	1	F	1	2.00111035695606	neutral	134789553
PD62054a	12	66973	133234349	1	1	F	1	2.00111035695606	neutral	133167377
PD62054a	13	19026300	114325924	1	1	F	1	2.00111035695606	neutral	95299625
PD62054a	14	19097559	105909889	1	1	F	1	2.00111035695606	neutral	86812331
PD62054a	14	105909890	105919477	2	1	F	1	2.00111035695606	gain	9588
PD62054a	14	105919552	106874913	1	1	F	1	2.00111035695606	neutral	955362
PD62054a	15	19964758	101849608	1	1	F	1	2.00111035695606	neutral	81884851
PD62054a	16	47354	90094793	1	1	F	1	2.00111035695606	neutral	90047440
PD62054a	17	156162	63831196	1	1	F	1	2.00111035695606	neutral	63675035
PD62054a	17	63831629	63918836	1	0	F	1	2.00111035695606	loss	87208
PD62054a	17	63918844	83135891	1	1	F	1	2.00111035695606	neutral	19217048
PD62054a	18	120645	63804428	1	1	F	1	2.00111035695606	neutral	63683784
PD62054a	18	63804653	63897624	1	0	F	1	2.00111035695606	loss	92972
PD62054a	18	63897780	80202756	1	1	F	1	2.00111035695606	neutral	16304977
PD62054a	19	281360	58572521	1	1	F	1	2.00111035695606	neutral	58291162
PD62054a	20	87623	64273629	1	1	F	1	2.00111035695606	neutral	64186007
PD62054a	21	9068512	46664392	1	1	F	1	2.00111035695606	neutral	37595881
PD62054a	22	16572142	50780662	1	1	F	1	2.00111035695606	neutral	34208521
PD62054a	X	284193	156005413	1	1	F	1	2.00111035695606	neutral	155721221
PD62057a	1	826681	152155724	1	1	M	0.7	2.00832814051202	neutral	151329044
PD62057a	1	152155736	152515434	2	1	M	0.7	2.00832814051202	gain	359699
PD62057a	1	152515441	248918428	1	1	M	0.7	2.00832814051202	neutral	96402988
PD62057a	2	41366	120346386	1	1	M	0.7	2.00832814051202	neutral	120305021
PD62057a	2	120349030	120988904	2	1	M	0.7	2.00832814051202	gain	639875
PD62057a	2	120988932	242004549	1	1	M	0.7	2.00832814051202	neutral	121015618
PD62057a	3	197664	198038561	1	1	M	0.7	2.00832814051202	neutral	197840898
PD62057a	4	85813	190025891	1	1	M	0.7	2.00832814051202	neutral	189940079
PD62057a	5	140238	140786397	1	1	M	0.7	2.00832814051202	neutral	140646160
PD62057a	5	140786647	141491682	2	1	M	0.7	2.00832814051202	gain	705036
PD62057a	5	141491711	181260906	1	1	M	0.7	2.00832814051202	neutral	39769196
PD62057a	6	203397	170584376	1	1	M	0.7	2.00832814051202	neutral	170380980
PD62057a	7	193222	101020009	1	1	M	0.7	2.00832814051202	neutral	100826788
PD62057a	7	101020086	101050500	2	1	M	0.7	2.00832814051202	gain	30415
PD62057a	7	101050567	159233344	1	1	M	0.7	2.00832814051202	neutral	58182778
PD62057a	8	232977	145054093	1	1	M	0.7	2.00832814051202	neutral	144821117
PD62057a	9	154795	135626164	1	1	M	0.7	2.00832814051202	neutral	135471370
PD62057a	9	135626177	135778712	2	1	M	0.7	2.00832814051202	gain	152536
PD62057a	9	135778831	138177328	1	1	M	0.7	2.00832814051202	neutral	2398498
PD62057a	10	49156	133370618	1	1	M	0.7	2.00832814051202	neutral	133321463
PD62057a	10	133370622	133389112	1	0	M	0.7	2.00832814051202	loss	18491
PD62057a	10	133389811	133625894	2	0	M	0.7	2.00832814051202	neutral	236084
PD62057a	11	197291	984589	1	1	M	0.7	2.00832814051202	neutral	787299
PD62057a	11	984596	1480479	2	1	M	0.7	2.00832814051202	gain	495884
PD62057a	11	1480674	134986843	1	1	M	0.7	2.00832814051202	neutral	133506170
PD62057a	12	66973	133234349	1	1	M	0.7	2.00832814051202	neutral	133167377
PD62057a	13	19026300	114325924	1	1	M	0.7	2.00832814051202	neutral	95299625
PD62057a	14	19733402	106874913	1	1	M	0.7	2.00832814051202	neutral	87141512
PD62057a	15	19964758	22279188	2	0	M	0.7	2.00832814051202	neutral	2314431
PD62057a	15	22572885	48520885	1	0	M	0.7	2.00832814051202	loss	25948001
PD62057a	15	48520910	101849608	1	1	M	0.7	2.00832814051202	neutral	53328699
PD62057a	16	47354	764243	1	1	M	0.7	2.00832814051202	neutral	716890
PD62057a	16	764493	1589807	2	1	M	0.7	2.00832814051202	gain	825315
PD62057a	16	1589844	81786163	1	1	M	0.7	2.00832814051202	neutral	80196320
PD62057a	16	81786207	81871007	1	0	M	0.7	2.00832814051202	loss	84801
PD62057a	16	81871033	90094866	1	1	M	0.7	2.00832814051202	neutral	8223834
PD62057a	17	156162	83135891	1	1	M	0.7	2.00832814051202	neutral	82979730
PD62057a	18	120645	80202756	1	1	M	0.7	2.00832814051202	neutral	80082112
PD62057a	19	281360	22181431	1	1	M	0.7	2.00832814051202	neutral	21900072
PD62057a	19	22181520	23224045	2	1	M	0.7	2.00832814051202	gain	1042526
PD62057a	19	23231135	58572521	1	1	M	0.7	2.00832814051202	neutral	35341387
PD62057a	20	87623	64273629	2	1	M	0.7	2.00832814051202	gain	64186007
PD62057a	21	9068512	10462836	2	2	M	0.7	2.00832814051202	gain	1394325
PD62057a	21	10462861	10602207	2	1	M	0.7	2.00832814051202	gain	139347
PD62057a	21	10602232	46664523	1	1	M	0.7	2.00832814051202	neutral	36062292
PD62057a	22	16572142	50780662	1	1	M	0.7	2.00832814051202	neutral	34208521
PD62057a	X	284193	361611	3	0	M	0.7	2.00832814051202	gain	77419
PD62057a	X	361638	2774703	2	0	M	0.7	2.00832814051202	gain	2413066
PD62057a	X	2781927	155524613	1	0	M	0.7	2.00832814051202	neutral	152742687
PD62057a	X	155545046	155898177	2	0	M	0.7	2.00832814051202	gain	353132
PD62057a	X	155898234	156005528	3	0	M	0.7	2.00832814051202	gain	107295
PD62064a	1	826681	248918428	1	1	M	1	1.98536874286859	neutral	248091748
PD62064a	2	41393	242004549	1	1	M	1	1.98536874286859	neutral	241963157
PD62064a	3	197937	198038561	1	1	M	1	1.98536874286859	neutral	197840625
PD62064a	4	85813	190025891	1	1	M	1	1.98536874286859	neutral	189940079
PD62064a	5	140238	140701022	1	1	M	1	1.98536874286859	neutral	140560785
PD62064a	5	140704103	141151196	2	1	M	1	1.98536874286859	gain	447094
PD62064a	5	141151271	181260906	1	1	M	1	1.98536874286859	neutral	40109636
PD62064a	6	203397	170584376	1	1	M	1	1.98536874286859	neutral	170380980
PD62064a	7	193222	159233344	1	1	M	1	1.98536874286859	neutral	159040123
PD62064a	8	232977	145054093	1	1	M	1	1.98536874286859	neutral	144821117
PD62064a	9	154795	138177317	1	1	M	1	1.98536874286859	neutral	138022523
PD62064a	10	49230	133625894	1	1	M	1	1.98536874286859	neutral	133576665
PD62064a	11	197291	134986843	1	1	M	1	1.98536874286859	neutral	134789553
PD62064a	12	66973	133234532	1	1	M	1	1.98536874286859	neutral	133167560
PD62064a	13	19026300	114325924	1	1	M	1	1.98536874286859	neutral	95299625
PD62064a	14	19733402	106874913	1	1	M	1	1.98536874286859	neutral	87141512
PD62064a	15	19964758	101849608	1	1	M	1	1.98536874286859	neutral	81884851
PD62064a	16	47541	90094880	1	1	M	1	1.98536874286859	neutral	90047340
PD62064a	17	156162	83135891	1	1	M	1	1.98536874286859	neutral	82979730
PD62064a	18	120645	80202756	1	1	M	1	1.98536874286859	neutral	80082112
PD62064a	19	281468	58572521	1	1	M	1	1.98536874286859	neutral	58291054
PD62064a	20	87623	64273492	1	1	M	1	1.98536874286859	neutral	64185870
PD62064a	21	9068512	46664392	1	1	M	1	1.98536874286859	neutral	37595881
PD62064a	22	16572142	50780662	1	1	M	1	1.98536874286859	neutral	34208521
PD62064a	X	284193	2774703	2	0	M	1	1.98536874286859	gain	2490511
PD62064a	X	2781927	155524613	1	0	M	1	1.98536874286859	neutral	152742687
PD62064a	X	155773979	156005413	2	0	M	1	1.98536874286859	gain	231435
PD62065c	1	826681	248918428	1	1	M	0.86	1.98388377751497	neutral	248091748
PD62065c	2	41393	242004549	1	1	M	0.86	1.98388377751497	neutral	241963157
PD62065c	3	197630	198038561	1	1	M	0.86	1.98388377751497	neutral	197840932
PD62065c	4	85813	190025891	1	1	M	0.86	1.98388377751497	neutral	189940079
PD62065c	5	140238	181260906	1	1	M	0.86	1.98388377751497	neutral	181120669
PD62065c	6	203397	170584376	1	1	M	0.86	1.98388377751497	neutral	170380980
PD62065c	7	193222	159233344	1	1	M	0.86	1.98388377751497	neutral	159040123
PD62065c	8	232977	145054093	1	1	M	0.86	1.98388377751497	neutral	144821117
PD62065c	9	154795	138177317	1	1	M	0.86	1.98388377751497	neutral	138022523
PD62065c	10	49156	133625894	1	1	M	0.86	1.98388377751497	neutral	133576739
PD62065c	11	197291	134986843	1	1	M	0.86	1.98388377751497	neutral	134789553
PD62065c	12	66973	133234532	1	1	M	0.86	1.98388377751497	neutral	133167560
PD62065c	13	19026300	114325924	1	1	M	0.86	1.98388377751497	neutral	95299625
PD62065c	14	19733402	106874913	1	1	M	0.86	1.98388377751497	neutral	87141512
PD62065c	15	19964758	89751079	1	1	M	0.86	1.98388377751497	neutral	69786322
PD62065c	15	89751199	89765000	0	0	M	0.86	1.98388377751497	loss	13802
PD62065c	15	89765022	101849608	1	1	M	0.86	1.98388377751497	neutral	12084587
PD62065c	16	47354	90094880	1	1	M	0.86	1.98388377751497	neutral	90047527
PD62065c	17	156162	83135759	1	1	M	0.86	1.98388377751497	neutral	82979598
PD62065c	18	117381	80202756	1	1	M	0.86	1.98388377751497	neutral	80085376
PD62065c	19	281468	58572521	1	1	M	0.86	1.98388377751497	neutral	58291054
PD62065c	20	87623	64273629	1	1	M	0.86	1.98388377751497	neutral	64186007
PD62065c	21	9068512	46664523	1	1	M	0.86	1.98388377751497	neutral	37596012
PD62065c	22	16572142	50780662	1	1	M	0.86	1.98388377751497	neutral	34208521
PD62065c	X	284193	2774703	2	0	M	0.86	1.98388377751497	gain	2490511
PD62065c	X	2781927	155545046	1	0	M	0.86	1.98388377751497	neutral	152763120
PD62065c	X	155773979	156005413	2	0	M	0.86	1.98388377751497	gain	231435
PD62067a	1	826681	248918428	1	1	F	0.47	2.22135471798619	neutral	248091748
PD62067a	2	41509	88857769	1	1	F	0.47	2.22135471798619	neutral	88816261
PD62067a	2	88860450	88861407	2	2	F	0.47	2.22135471798619	gain	958
PD62067a	2	88861410	242004549	1	1	F	0.47	2.22135471798619	neutral	153143140
PD62067a	3	197630	198038561	1	1	F	0.47	2.22135471798619	neutral	197840932
PD62067a	4	85813	190025891	1	1	F	0.47	2.22135471798619	neutral	189940079
PD62067a	5	140238	181260906	1	1	F	0.47	2.22135471798619	neutral	181120669
PD62067a	6	203397	170584376	1	1	F	0.47	2.22135471798619	neutral	170380980
PD62067a	7	193222	100951903	1	1	F	0.47	2.22135471798619	neutral	100758682
PD62067a	7	100952010	101051595	2	1	F	0.47	2.22135471798619	gain	99586
PD62067a	7	101051672	159233344	1	1	F	0.47	2.22135471798619	neutral	58181673
PD62067a	8	232977	145054093	2	1	F	0.47	2.22135471798619	gain	144821117
PD62067a	9	154795	35091721	2	0	F	0.47	2.22135471798619	neutral	34936927
PD62067a	9	35091847	138177317	1	1	F	0.47	2.22135471798619	neutral	103085471
PD62067a	10	49134	133625894	1	1	F	0.47	2.22135471798619	neutral	133576761
PD62067a	11	197291	134986843	1	1	F	0.47	2.22135471798619	neutral	134789553
PD62067a	12	66973	133234532	2	1	F	0.47	2.22135471798619	gain	133167560
PD62067a	13	19026300	114325924	2	2	F	0.47	2.22135471798619	gain	95299625
PD62067a	14	19097559	106874913	1	1	F	0.47	2.22135471798619	neutral	87777355
PD62067a	15	19964758	101849544	1	1	F	0.47	2.22135471798619	neutral	81884787
PD62067a	16	47354	90094900	1	1	F	0.47	2.22135471798619	neutral	90047547
PD62067a	17	156162	83135891	1	1	F	0.47	2.22135471798619	neutral	82979730
PD62067a	18	120645	80202756	1	1	F	0.47	2.22135471798619	neutral	80082112
PD62067a	19	281360	8858668	1	1	F	0.47	2.22135471798619	neutral	8577309
PD62067a	19	8860899	8936591	1	0	F	0.47	2.22135471798619	loss	75693
PD62067a	19	8936629	29529845	1	1	F	0.47	2.22135471798619	neutral	20593217
PD62067a	19	29530116	58572521	3	1	F	0.47	2.22135471798619	gain	29042406
PD62067a	20	87623	64273629	1	1	F	0.47	2.22135471798619	neutral	64186007
PD62067a	21	9068512	10605565	3	0	F	0.47	2.22135471798619	gain	1537054
PD62067a	21	10605633	46664523	1	1	F	0.47	2.22135471798619	neutral	36058891
PD62067a	22	16572142	50780662	1	1	F	0.47	2.22135471798619	neutral	34208521
PD62067a	X	284193	156005528	2	1	F	0.47	2.22135471798619	gain	155721336
PD62068f	1	69511	248918428	1	1	F	0.57	1.99913188007647	neutral	248848918
PD62068f	2	41509	88861887	1	1	F	0.57	1.99913188007647	neutral	88820379
PD62068f	2	88861892	88886258	1	0	F	0.57	1.99913188007647	loss	24367
PD62068f	2	88897183	131443822	1	1	F	0.57	1.99913188007647	neutral	42546640
PD62068f	2	131443823	131476190	2	2	F	0.57	1.99913188007647	gain	32368
PD62068f	2	131476212	242004549	1	1	F	0.57	1.99913188007647	neutral	110528338
PD62068f	3	197937	198038561	1	1	F	0.57	1.99913188007647	neutral	197840625
PD62068f	4	85813	190025891	1	1	F	0.57	1.99913188007647	neutral	189940079
PD62068f	5	140359	181260211	1	1	F	0.57	1.99913188007647	neutral	181119853
PD62068f	6	203397	32638920	1	1	F	0.57	1.99913188007647	neutral	32435524
PD62068f	6	32638924	32660832	1	0	F	0.57	1.99913188007647	loss	21909
PD62068f	6	32660834	170584376	1	1	F	0.57	1.99913188007647	neutral	137923543
PD62068f	7	193222	100220562	1	1	F	0.57	1.99913188007647	neutral	100027341
PD62068f	7	100220672	100550282	1	0	F	0.57	1.99913188007647	loss	329611
PD62068f	7	100550293	159233344	1	1	F	0.57	1.99913188007647	neutral	58683052
PD62068f	8	232977	145054093	1	1	F	0.57	1.99913188007647	neutral	144821117
PD62068f	9	154795	138175500	1	1	F	0.57	1.99913188007647	neutral	138020706
PD62068f	10	49156	133625894	1	1	F	0.57	1.99913188007647	neutral	133576739
PD62068f	11	197291	67404265	1	1	F	0.57	1.99913188007647	neutral	67206975
PD62068f	11	67405440	67428895	1	0	F	0.57	1.99913188007647	loss	23456
PD62068f	11	67428908	134986843	1	1	F	0.57	1.99913188007647	neutral	67557936
PD62068f	12	66973	133234349	1	1	F	0.57	1.99913188007647	neutral	133167377
PD62068f	13	19026300	114325924	1	1	F	0.57	1.99913188007647	neutral	95299625
PD62068f	14	19097460	22499871	1	1	F	0.57	1.99913188007647	neutral	3402412
PD62068f	14	22501477	22589178	1	0	F	0.57	1.99913188007647	loss	87702
PD62068f	14	22589186	105855266	1	1	F	0.57	1.99913188007647	neutral	83266081
PD62068f	14	105855447	105864693	1	0	F	0.57	1.99913188007647	loss	9247
PD62068f	14	105865169	106874913	1	1	F	0.57	1.99913188007647	neutral	1009745
PD62068f	15	19964758	101849544	1	1	F	0.57	1.99913188007647	neutral	81884787
PD62068f	16	47541	90094880	1	1	F	0.57	1.99913188007647	neutral	90047340
PD62068f	17	156162	83135759	1	1	F	0.57	1.99913188007647	neutral	82979598
PD62068f	18	120645	80202756	1	1	F	0.57	1.99913188007647	neutral	80082112
PD62068f	19	281376	15623580	1	1	F	0.57	1.99913188007647	neutral	15342205
PD62068f	19	15624112	15741784	2	1	F	0.57	1.99913188007647	gain	117673
PD62068f	19	15742031	58572521	1	1	F	0.57	1.99913188007647	neutral	42830491
PD62068f	20	87623	64273492	1	1	F	0.57	1.99913188007647	neutral	64185870
PD62068f	21	9068512	46664392	1	1	F	0.57	1.99913188007647	neutral	37595881
PD62068f	22	16572142	50780662	1	1	F	0.57	1.99913188007647	neutral	34208521
PD62068f	X	284193	156005413	1	1	F	0.57	1.99913188007647	neutral	155721221
PD62072a	1	69511	152107347	1	1	M	0.44	2.00335245336339	neutral	152037837
PD62072a	1	152107513	153459085	2	2	M	0.44	2.00335245336339	gain	1351573
PD62072a	1	153459146	185911590	1	1	M	0.44	2.00335245336339	neutral	32452445
PD62072a	1	185911745	186296816	2	2	M	0.44	2.00335245336339	gain	385072
PD62072a	1	186300069	247841197	1	1	M	0.44	2.00335245336339	neutral	61541129
PD62072a	1	247841312	248918428	2	1	M	0.44	2.00335245336339	gain	1077117
PD62072a	2	41393	88861377	1	1	M	0.44	2.00335245336339	neutral	88819985
PD62072a	2	88861397	89234822	2	1	M	0.44	2.00335245336339	gain	373426
PD62072a	2	89234831	242004549	1	1	M	0.44	2.00335245336339	neutral	152769719
PD62072a	3	197664	198038561	1	1	M	0.44	2.00335245336339	neutral	197840898
PD62072a	4	85813	86753138	1	1	M	0.44	2.00335245336339	neutral	86667326
PD62072a	4	86753188	87047827	2	1	M	0.44	2.00335245336339	gain	294640
PD62072a	4	87049523	190025891	1	1	M	0.44	2.00335245336339	neutral	102976369
PD62072a	5	140238	140786397	1	1	M	0.44	2.00335245336339	neutral	140646160
PD62072a	5	140786647	141487520	2	2	M	0.44	2.00335245336339	gain	700874
PD62072a	5	141487556	181260906	1	1	M	0.44	2.00335245336339	neutral	39773351
PD62072a	6	203397	159266149	1	1	M	0.44	2.00335245336339	neutral	159062753
PD62072a	6	159266264	159712817	2	1	M	0.44	2.00335245336339	gain	446554
PD62072a	6	159712911	170584376	1	1	M	0.44	2.00335245336339	neutral	10871466
PD62072a	7	193222	159233324	1	1	M	0.44	2.00335245336339	neutral	159040103
PD62072a	8	232977	145054093	1	1	M	0.44	2.00335245336339	neutral	144821117
PD62072a	9	154795	138177328	1	1	M	0.44	2.00335245336339	neutral	138022534
PD62072a	10	49134	122572519	1	1	M	0.44	2.00335245336339	neutral	122523386
PD62072a	10	122573682	122676817	2	2	M	0.44	2.00335245336339	gain	103136
PD62072a	10	122676832	133625894	1	1	M	0.44	2.00335245336339	neutral	10949063
PD62072a	11	197291	244197	1	0	M	0.44	2.00335245336339	loss	46907
PD62072a	11	244414	48160009	1	1	M	0.44	2.00335245336339	neutral	47915596
PD62072a	11	48163431	48306282	2	2	M	0.44	2.00335245336339	gain	142852
PD62072a	11	48306289	55773808	2	1	M	0.44	2.00335245336339	gain	7467520
PD62072a	11	55774029	59713287	1	1	M	0.44	2.00335245336339	neutral	3939259
PD62072a	11	59713475	60047111	1	0	M	0.44	2.00335245336339	loss	333637
PD62072a	11	60061389	71582954	1	1	M	0.44	2.00335245336339	neutral	11521566
PD62072a	11	71796048	71796253	0	0	M	0.44	2.00335245336339	loss	206
PD62072a	11	71865740	134986843	1	1	M	0.44	2.00335245336339	neutral	63121104
PD62072a	12	66973	50104336	1	1	M	0.44	2.00335245336339	neutral	50037364
PD62072a	12	50104356	51358297	1	0	M	0.44	2.00335245336339	loss	1253942
PD62072a	12	51359113	55685391	2	1	M	0.44	2.00335245336339	gain	4326279
PD62072a	12	55686005	133234349	1	1	M	0.44	2.00335245336339	neutral	77548345
PD62072a	13	19026300	19178485	3	0	M	0.44	2.00335245336339	gain	152186
PD62072a	13	19179309	19503337	2	2	M	0.44	2.00335245336339	gain	324029
PD62072a	13	19633709	114325924	1	1	M	0.44	2.00335245336339	neutral	94692216
PD62072a	14	19733402	20243598	2	2	M	0.44	2.00335245336339	gain	510197
PD62072a	14	20243652	104939864	1	1	M	0.44	2.00335245336339	neutral	84696213
PD62072a	14	104939898	104949893	2	1	M	0.44	2.00335245336339	gain	9996
PD62072a	14	104949899	105986647	1	1	M	0.44	2.00335245336339	neutral	1036749
PD62072a	14	105986679	106578807	2	2	M	0.44	2.00335245336339	gain	592129
PD62072a	14	106578808	106874913	2	1	M	0.44	2.00335245336339	gain	296106
PD62072a	15	19964758	24985051	1	1	M	0.44	2.00335245336339	neutral	5020294
PD62072a	15	24986870	25227182	2	2	M	0.44	2.00335245336339	gain	240313
PD62072a	15	25227192	101849544	1	1	M	0.44	2.00335245336339	neutral	76622353
PD62072a	16	47541	90094900	1	1	M	0.44	2.00335245336339	neutral	90047360
PD62072a	17	156162	83135891	1	1	M	0.44	2.00335245336339	neutral	82979730
PD62072a	18	120645	80202756	1	1	M	0.44	2.00335245336339	neutral	80082112
PD62072a	19	281376	2945002	1	1	M	0.44	2.00335245336339	neutral	2663627
PD62072a	19	2978116	2993645	1	0	M	0.44	2.00335245336339	loss	15530
PD62072a	19	2993943	39894126	1	1	M	0.44	2.00335245336339	neutral	36900184
PD62072a	19	39894144	40006028	1	0	M	0.44	2.00335245336339	loss	111885
PD62072a	19	40007284	44101171	1	1	M	0.44	2.00335245336339	neutral	4093888
PD62072a	19	44101389	44428346	2	1	M	0.44	2.00335245336339	gain	326958
PD62072a	19	44428347	54537099	1	1	M	0.44	2.00335245336339	neutral	10108753
PD62072a	19	54537101	54635344	2	1	M	0.44	2.00335245336339	gain	98244
PD62072a	19	54635352	58572521	1	1	M	0.44	2.00335245336339	neutral	3937170
PD62072a	20	87623	64273492	1	1	M	0.44	2.00335245336339	neutral	64185870
PD62072a	21	9068512	44580031	1	1	M	0.44	2.00335245336339	neutral	35511520
